study	study_id
Alasoo_2018	QTS000001
BLUEPRINT	QTS000002
Bossini-Castillo_2019	QTS000003
Braineac2	QTS000004
BrainSeq	QTS000005
CAP	QTS000006
CEDAR	QTS000007
CommonMind	QTS000008
Fairfax_2012	QTS000009
Fairfax_2014	QTS000010
FUSION	QTS000011
GENCORD	QTS000012
GEUVADIS	QTS000013
Gilchrist_2021	QTS000014
GTEx	QTS000015
HipSci	QTS000016
iPSCORE	QTS000017
Kasela_2017	QTS000018
Lepik_2017	QTS000019
Naranbhai_2015	QTS000020
Nedelec_2016	QTS000021
Peng_2018	QTS000022
PhLiPS	QTS000023
Quach_2016	QTS000024
ROSMAP	QTS000025
Schmiedel_2018	QTS000026
Schwartzentruber_2018	QTS000027
Steinberg_2020	QTS000028
TwinsUK	QTS000029
van_de_Bunt_2015	QTS000030
Young_2019	QTS000031
